tid,descripcion,precio
2,Reprehenderit occaecati aliquid praesentium nostrum et quibusdam. Sint illum laboriosam veritatis. Iste temporibus illo mollitia.,10355.54
1,Rerum veritatis illum hic sint maxime. Accusantium id architecto aliquam culpa eius.,7440.65
0,Labore rem officiis repudiandae tempore placeat. Rem nostrum similique repellat omnis saepe eveniet.,18728.23
1457,Harum maiores distinctio nulla cumque veniam beatae. Soluta repellendus rem assumenda minus id. Modi magnam consequuntur odio ea odit repellat iste.,17600.56
1456,Deserunt quam tempore architecto cum consequuntur. Aliquid minima perspiciatis veritatis blanditiis deleniti nostrum.,6930.28
1455,Repellat facere veniam voluptatem consequatur molestias. Nam eos optio dolor repellat. Voluptatum fuga aspernatur beatae occaecati.,5122.14
5,Placeat assumenda eum voluptas. Ipsa nesciunt debitis minus laboriosam laboriosam.,5171.37
4,Ipsum labore recusandae ab placeat odio in quod. Placeat autem eius ab.,23231.43
3,Autem placeat nesciunt. Vitae quidem numquam at vero.,9076.15
1532,Eius labore corporis sit rerum nihil tempore maiores. Animi optio quod dolore itaque nostrum maxime consequatur.,20689.88
1531,Quibusdam quo enim.,10004.99
1530,Aliquid eveniet occaecati voluptate possimus et. Repellendus sit itaque quibusdam rem vero. Quisquam quae minima odio possimus fugiat repudiandae.,23281.8
8,Vitae nulla unde odit eius doloribus eveniet. Numquam delectus dolores exercitationem facere.,2226.48
7,Maxime eius distinctio incidunt ratione enim.,17586.45
6,Impedit excepturi similique sed iste. Voluptas ipsum doloribus similique hic.,22224.16
1454,Laudantium necessitatibus ducimus iusto enim quisquam. Necessitatibus numquam quisquam impedit similique impedit.,9988.15
1453,Aperiam laudantium voluptatibus consectetur commodi corporis. Ducimus repudiandae officia quis. Molestiae incidunt praesentium.,13179.67
1452,Rem culpa ipsum repudiandae itaque tenetur. Dolorum quae temporibus aut.,15440.47
65,Cum at eos ratione quas aut error. Nesciunt consequatur tempora et sapiente.,15212.61
64,Quo maxime et libero reprehenderit labore unde. Facere cupiditate a id saepe molestiae autem. Dolore quia deserunt neque. Facere dolorem deserunt saepe quibusdam.,2040.95
63,Delectus aperiam rerum hic nostrum molestias maxime. Laboriosam neque assumenda debitis voluptates ratione nisi.,10605.43
11,Esse odit pariatur. Earum quod similique fugit quibusdam at. Labore dolor expedita saepe magnam ducimus aspernatur. Nam exercitationem unde iure fugiat vel.,2952.65
10,Maiores tenetur aspernatur soluta et voluptatum quibusdam. Repudiandae incidunt iste ut doloribus.,16459.28
9,Quasi nesciunt ea molestias. Consequatur odit odio autem et quisquam exercitationem maiores. Recusandae sequi nam.,16966.85
14,Mollitia animi aliquam atque. Porro est voluptatum accusantium dolor.,23687.43
13,Nihil accusantium repudiandae unde doloremque possimus sit repellat. Necessitatibus esse dolorum cumque neque quis est.,9301.87
12,Excepturi accusamus enim rem atque possimus harum. Repellendus temporibus illo iure. Aliquid deserunt assumenda.,13264.99
977,Blanditiis dolor commodi quos odit ipsa assumenda quam. Nesciunt dolor consequatur sit quae. Sunt ullam vitae et cupiditate.,6315.66
